order_id,customer_id,order_date,status,amount
4135,1391,2022-03-22,completed,3200.75
6661,1191,2023-05-28,completed,2965.81
4507,1240,2023-05-21,completed,886.32
6997,1690,2022-07-01,processing,1104.73
4757,1982,2022-06-06,processing,1698.08
6159,1649,2022-10-26,completed,3878.1
6400,1562,2022-05-19,completed,2176.17
6859,1891,2022-05-09,cancelled,4786.91
5160,1401,2022-06-13,cancelled,4798.8
4484,1575,2023-10-23,completed,7171.26
4850,1296,2022-04-23,completed,4430.85
4202,1751,2023-06-21,completed,1145.91
6016,1342,2023-02-07,completed,8855.65
4380,1197,2022-01-29,completed,3936.04
5184,1149,2022-01-13,completed,3224.16
6154,1735,2022-05-06,completed,2898.02
5544,1086,2022-11-27,completed,4554.55
6953,1117,2023-11-09,cancelled,1759.22
4481,1587,2022-11-14,processing,5100.68
5035,9001,2023-12-04,completed,1560.23
4645,1608,2023-03-21,completed,3779.58
5608,1602,2022-11-15,processing,1145.82
5200,1537,2022-09-21,completed,4179.6
4482,1780,2023-04-06,cancelled,6192.99
4550,1789,2022-11-03,completed,2579.07
6609,1270,2026-08-11,completed,2362.41
4933,1432,2023-06-02,completed,6343.0
6666,1939,2023-03-03,completed,1709.57
6966,1659,2022-01-14,completed,756.72
4369,1346,2022-06-23,completed,9176.36
5878,1403,2022-10-22,cancelled,4683.76
6610,1068,2023-03-19,completed,1395.92
4506,1777,2022-10-15,cancelled,1572.56
6273,1818,2022-10-21,processing,1613.97
5321,1052,2022-01-12,completed,509.44
5278,1745,2022-11-23,completed,3883.76
5543,1799,2022-01-28,cancelled,37.84
6689,1846,2023-07-31,processing,3553.06
6289,1928,2023-04-05,completed,0.0
5657,1008,2022-07-18,completed,4397.02
4165,1368,2022-03-23,cancelled,5418.48
6517,1251,2022-01-07,cancelled,1012.29
4342,1802,2022-05-07,processing,2086.32
4892,1715,2022-04-24,processing,3682.55
6336,1232,2023-02-19,processing,3521.25
5603,1625,2023-03-21,completed,496.05
4230,1511,2022-08-31,cancelled,6757.8
4073,1472,2022-11-20,cancelled,1046.52
6681,1353,2023-02-20,completed,1409.42
6581,1187,2023-08-28,completed,534.9
5226,1248,2023-03-23,processing,0.0
6599,1503,2022-12-02,completed,6824.6
5179,1826,2023-03-25,completed,2376.58
6413,1368,2023-08-03,processing,4973.17
5272,1998,2022-07-22,completed,2914.7
5188,1234,2022-12-23,cancelled,7077.68
6777,1904,2022-12-16,completed,3421.54
4859,1559,2022-07-07,completed,4782.57
5837,1440,2022-07-04,completed,7565.88
6371,1228,2023-01-27,completed,263.71
6021,1672,2022-04-21,completed,4730.69
4412,1530,2022-11-17,completed,972.92
6411,1549,2023-12-05,cancelled,1765.0
6236,1961,2022-03-13,cancelled,3217.94
6254,1805,2022-06-26,completed,2567.36
6998,1826,2022-11-04,Completed,5921.63
6981,1720,2022-04-21,completed,3477.51
6996,1624,2023-11-25,completed,4155.98
6752,1605,2022-06-30,completed,3062.22
4852,1846,2023-08-31,COMPLETED,1114.45
4734,1796,2023-12-12,cancelled,1889.08
5040,1376,2022-02-21,processing,2928.6
5831,1939,2023-01-15,completed,177.38
4504,1860,2023-12-15,completed,2013.0
4660,1606,2023-01-03,completed,567.58
5960,1191,2022-11-24,completed,3706.55
5848,1225,2023-12-23,completed,2738.64
4796,1424,2022-03-17,completed,1715.07
4322,1774,2022-05-21,completed,2761.3
6989,1345,2023-03-03,completed,2106.4
6816,1045,2022-03-10,cancelled,3359.98
4812,1282,2023-03-08,completed,976.11
4898,1441,2023-12-20,completed,4940.96
5344,1464,2022-05-02,completed,3222.66
4345,1782,2022-01-15,processing,925.09
6697,1209,2022-05-19,cancelled,706.8
4534,1225,2022-09-26,cancelled,3005.04
6116,1224,2022-04-15,completed,2325.42
6111,1894,2023-05-05,completed,2110.71
6587,1288,2023-04-23,completed,5239.76
6268,1945,2022-06-20,processing,3831.04
5472,1477,2023-06-08,completed,1773.73
4436,1445,2023-07-02,completed,611.58
4649,1394,2023-05-11,cancelled,1977.29
